1,SPRING,T. NASH.,"Spring, the sweet Spring, is the year's pleasant king;
Then blooms each thing, then maids dance in a ring,
Cold doth not sting, the pretty birds do sing,
Cuckoo, jug-jug, pu-we, to-witta-woo!

The palm and may make country houses gay,
Lambs frisk and play, the shepherds pipe all day,
And we hear aye birds tune their merry lay,
Cuckoo, jug-jug, pu-we, to-witta-woo!

The fields breathe sweet, the daisies kiss our feet,
Young lovers meet, old wives a-sunning sit,
In every street these tunes our ears do greet,
Cuckoo, jug-jug, pu-we, to-witta-woo!
  Spring, the sweet Spring!",Golden Treasury (1861)
3,TIME AND LOVE,W. SHAKESPEARE.,"When I have seen by Time's fell hand defaced
The rich proud cost of out-worn buried age;
When sometime lofty towers I see down-razed,
And brass eternal slave to mortal rage.

When I have seen the hungry ocean gain
Advantage on the kingdom of the shore,
And the firm soil win of the watery main,
Increasing store with loss, and loss with store.

When I have seen such interchange of state,
Or state itself confounded to decay,
Ruin hath taught me thus to ruminate—
That Time will come and take my Love away.

—This thought is as a death, which cannot choose
But weep to have that which it fears to lose.",Golden Treasury (1861)
4,,W. SHAKESPEARE.,"Since brass, nor stone, nor earth, nor boundless sea,
But sad mortality o'ersways their power,
How with this rage shall beauty hold a plea,
Whose action is no stronger than a flower?

O how shall summer's honey breath hold out,
Against the wreckful siege of battering days,
When rocks impregnable are not so stout,
Nor gates of steel so strong but time decays?

O fearful meditation, where, alack!
Shall Time's best jewel from Time's chest lie hid?
Or what strong hand can hold his swift foot back,
Or who his spoil of beauty can forbid?

O! none, unless this miracle have might,
That in black ink my love may still shine bright.",Golden Treasury (1861)
7,,W. SHAKESPEARE.,"Under the greenwood tree
Who loves to lie with me,
And tune his merry note
Unto the sweet bird's throat—
Come hither, come hither, come hither!
  Here shall we see
  No enemy
But winter and rough weather.

Who doth ambition shun
And loves to live i' the sun,
Seeking the food he eats
And pleased with what he gets—
Come hither, come hither, come hither!
  Here shall he see
  No enemy
But winter and rough weather.",Golden Treasury (1861)
8,,W. SHAKESPEARE.,"It was a lover and his lass
With a hey, and a ho, and a hey-nonino!
That o'er the green cornfield did pass,
In the spring time, the only pretty ring time,
When birds do sing hey ding a ding:
Sweet lovers love the Spring.
Between the acres of the rye
These pretty country folks would lie:
This carol they began that hour,
How that life was but a flower:
And therefore take the present time
With a hey, and a ho, and a hey-nonino!
For love is crownéd with the prime
In spring time, the only pretty ring time,
When birds do sing, hey ding a ding;
Sweet lovers love the Spring.",Golden Treasury (1861)
10,ABSENCE,W. SHAKESPEARE.,"Being your slave what should I do but tend
Upon the hours and times of your desire?
I have no precious time at all to spend,
Nor services to do, till you require:

Nor dare I chide the world-without-end hour
Whilst I, my sovereign, watch the clock for you,
Nor think the bitterness of absence sour
When you have bid your servant once adieu:

Nor dare I question with my jealous thought
Where you may be, or your affairs suppose,
But like a sad slave, stay and think of nought
Save where you are, how happy you make those;—

So true a fool is love, that in your will,
Though you do any thing, he thinks no ill.",Golden Treasury (1861)
11,,W. SHAKESPEARE.,"How like a winter hath my absence been
From Thee, the pleasure of the fleeting year!
What freezings have I felt, what dark days seen,
What old December's bareness everywhere!

And yet this time removed was summer's time:
The teeming autumn, big with rich increase,
Bearing the wanton burden of the prime
Like widow'd wombs after their lords' decease:

Yet this abundant issue seem'd to me
But hope of orphans, and unfather'd fruit;
For summer and his pleasures wait on thee,
And, thou away, the very birds are mute;

Or if they sing, 'tis with so dull a cheer,
That leaves look pale, dreading the winter's near.",Golden Treasury (1861)
12,A CONSOLATION,W. SHAKESPEARE.,"When in disgrace with Fortune and men's eyes
I all alone beweep my outcast state,
And trouble deaf heaven with my bootless cries,
And look upon myself, and curse my fate;

Wishing me like to one more rich in hope,
Featured like him, like him with friends possest,
Desiring this man's art, and that man's scope,
With what I most enjoy contented least;

Yet in these thoughts my self almost despising,
Haply I think on Thee—and then my state,
Like to the lark at break of day arising
From sullen earth, sings hymns at heaven's gate;

For thy sweet love remember'd, such wealth brings
That then I scorn to change my state with kings.",Golden Treasury (1861)
13,THE UNCHANGEABLE,W. SHAKESPEARE.,"O never say that I was false of heart,
Though absence seem'd my flame to qualify:
As easy might I from my self depart
As from my soul which in thy breast doth lie;

That is my home of love, if I have ranged,
Like him that travels, I return again,
Just to the time, not with the time exchanged,
So that myself bring water for my stain.

Never believe, though in my nature reign'd
All frailties that besiege all kinds of blood,
That it could so preposterously be stain'd
To leave for nothing all thy sum of good:

For nothing this wide universe I call,
Save thou, my rose, in it thou art my all.",Golden Treasury (1861)
14,,W. SHAKESPEARE.,"To me, fair Friend, you never can be old,
For as you were when first your eye I eyed
Such seems your beauty still. Three winters cold
Have from the forests shook three summers' pride;

Three beauteous springs to yellow autumn turn'd,
In process of the seasons have I seen,
Three April perfumes in three hot Junes burn'd,
Since first I saw you fresh which yet are green.

Ah! yet doth beauty, like a dial hand,
Steal from his figure, and no pace perceived;
So your sweet hue, which methinks still doth stand,
Hath motion, and mine eye may be deceived:

For fear of which, hear this, thou age unbred,—
Ere you were born, was beauty's summer dead.",Golden Treasury (1861)
